sample,eem_location,abs_location,dilution
d423sf,/home/matthias/R/x86_64-pc-linux-gnu-library/3.5/staRdom/extdata/EEMs/di25se06,/home/matthias/R/x86_64-pc-linux-gnu-library/3.5/staRdom/extdata/absorbance/d423sf.csv,1
d457sf,/home/matthias/R/x86_64-pc-linux-gnu-library/3.5/staRdom/extdata/EEMs/di25se06,/home/matthias/R/x86_64-pc-linux-gnu-library/3.5/staRdom/extdata/absorbance/d423sf.csv,1
d492sf,/home/matthias/R/x86_64-pc-linux-gnu-library/3.5/staRdom/extdata/EEMs/di25se06,/home/matthias/R/x86_64-pc-linux-gnu-library/3.5/staRdom/extdata/absorbance/d423sf.csv,1
d667sf,/home/matthias/R/x86_64-pc-linux-gnu-library/3.5/staRdom/extdata/EEMs/di25se06,/home/matthias/R/x86_64-pc-linux-gnu-library/3.5/staRdom/extdata/absorbance/d667sf.csv,1
dblank_di25se06,/home/matthias/R/x86_64-pc-linux-gnu-library/3.5/staRdom/extdata/EEMs/di25se06,NA,1
d433sf,/home/matthias/R/x86_64-pc-linux-gnu-library/3.5/staRdom/extdata/EEMs/mq11my,/home/matthias/R/x86_64-pc-linux-gnu-library/3.5/staRdom/extdata/absorbance/d423sf.csv,1
d437sf,/home/matthias/R/x86_64-pc-linux-gnu-library/3.5/staRdom/extdata/EEMs/mq11my,/home/matthias/R/x86_64-pc-linux-gnu-library/3.5/staRdom/extdata/absorbance/d423sf.csv,1
d441sf,/home/matthias/R/x86_64-pc-linux-gnu-library/3.5/staRdom/extdata/EEMs/mq11my,/home/matthias/R/x86_64-pc-linux-gnu-library/3.5/staRdom/extdata/absorbance/d423sf.csv,1
dblank_mq11my,/home/matthias/R/x86_64-pc-linux-gnu-library/3.5/staRdom/extdata/EEMs/mq11my,NA,1
